	CPU10	CPU11	CPU12	CPU13	CPU14	CPU15	CPU16	CPU17	CPU18
ammp	13.0706	14.2609	17.832	14.2752	17.9749	134.095	15.1171	12.9532	12.1967
bzip2	96.1878	173.598	253.539	203.383	125.844	499.701	110.857	95.5879	176.421
crafty	28.1878	36.7153	38.0522	31.8309	37.3685	196.888	56.0869	27.9148	27.0441
equake	21.0368	21.6897	28.3383	23.0064	28.4823	150.058	24.3934	20.8343	19.5781
gap	15.5367	15.5828	21.1549	16.47	21.6072	176.908	18.0582	15.3713	13.5228
gcc	40.4221	55.9303	53.658	44.2312	54.5938	188.003	47.7165	39.9126	37.8871
gzip	96.181	173.699	253.539	203.369	125.833	499.701	110.951	95.5811	176.433
mcf	17.2024	18.7617	23.393	18.9829	23.1436	152.505	19.8793	16.9673	16.4668
mesa	17.1148	17.7367	23.2964	18.885	23.2772	146.15	19.8248	16.9455	16.1488
parser	26.4305	41.8057	35.3054	28.7426	35.8032	167.654	30.4771	26.0567	24.628
swim	10.854	11.299	14.0394	11.7755	14.3467	76.8167	12.4972	42.7119	11.3999
twolf	12.5564	13.2737	18.1373	13.9615	16.6981	148.088	14.4621	12.3799	11.9348
vortex	18.8804	22.239	25.6214	21.9346	25.0049	175.98	21.7666	18.6569	19.1158
vpr	13.3539	15.2786	18.1401	14.4482	18.2391	139.316	15.4018	13.1476	12.606
wupwise	6.68673	6.70891	8.35942	7.37471	9.90309	99.5218	7.68772	25.4414	6.53938
