	CPU10	CPU11	CPU12	CPU13	CPU14	CPU15	CPU16	CPU17	CPU18
ammp	1	1.091066975	1.3642832	1.092161033	1.375216134	10.2592842	1.156572766	0.99101801	0.933140024
bzip2	1	1.804781895	2.63587482	2.11443655	1.308315608	5.195055922	1.152505827	0.993763242	1.834130732
crafty	1	1.302524496	1.349952816	1.129243857	1.325697642	6.984865793	1.98975798	0.990314959	0.959425709
equake	1	1.031036089	1.347082256	1.093626407	1.353927403	7.133119106	1.159558488	0.990374011	0.930659606
gap	1	1.002967168	1.361608321	1.060070671	1.390720037	11.38645916	1.162293151	0.989354239	0.870377879
gcc	1	1.383656465	1.327442167	1.094233105	1.350592869	4.650995371	1.180455741	0.987395509	0.937286781
gzip	1	1.805959597	2.636061176	2.114440482	1.308293738	5.195423212	1.153564633	0.993762801	1.83438517
mcf	1	1.090644329	1.35986839	1.103503	1.345370413	8.865332744	1.155612008	0.986333302	0.957238525
mesa	1	1.036336972	1.361184472	1.103430949	1.360062636	8.539392806	1.158342487	0.990107977	0.943557623
parser	1	1.581721874	1.335782524	1.087478481	1.354616825	6.343201983	1.153103422	0.985857248	0.931802274
swim	1	1.04099871	1.293477059	1.084899576	1.321789202	7.077271052	1.151391192	3.935129906	1.050294822
twolf	1	1.057126246	1.444466567	1.111903093	1.329847727	11.79382626	1.151771208	0.985943423	0.950495365
vortex	1	1.17788818	1.357036927	1.161765641	1.324384017	9.320777102	1.152867524	0.988162327	1.012467956
vpr	1	1.144130179	1.358412149	1.081946098	1.365825714	10.4326077	1.153355948	0.98455133	0.943993889
wupwise	1	1.003317017	1.250150672	1.10288736	1.481006411	14.88347817	1.149697984	3.804759576	0.977963818
